Disease,Symptoms,Medical_Specialty
(vertigo) paroymsal  positional vertigo,"headache, system:'you, i, nausea, patients, loss_of_balance, spinning_movements, patient",General Practitioner
abdominal aortic aneurysm,"an_enlarging_abdominal_aortic_aneurysm, system:'you, abdominal_aortic_aneurysms, patients, a_pulse, back_pain, the_belly, them, time, side, you, others, some_aneurysms, abdomen, the_belly_area, noticeable_symptoms, i, patient, the_bellybutton, constant_pain",Cardiologist
abdominal hernia,"discomfort, pain, visible_bulge",General Practitioner
abdominal injury,"blood, urine, bowel_movements, nausea, abdominal_pain, difficulty, tenderness, changes",Gastroenterologist
abscess,"redness, pus_formation, pain, fever",Infectious Disease Specialist
abscess of nose,"redness, the_nose, discharge, pain",Infectious Disease Specialist
abscess of the lung,"shortness, pus, breath, cough, phlegm, chest_pain, fever, fatigue","Infectious Disease Specialist, Pulmonologist"
acanthosis nigricans,"groin, the_affected_skin, creases, it, an_odor, system:'you, i, velvety_skin, patients, the_armpits, acanthosis_nigricans, skin_tags, patient, body_folds, the_main_sign, the_neck",Dermatologist
achalasia,"drink, that, signs, system:'you, patients, symptoms, night_pneumonia, your_throat, food, time, which, dysphagia, difficulty, chest_pain, food_or_saliva_heartburn, achalasia_symptoms, aspiration, the_lungs, i, patient, inability","Otolaryngologist, Pulmonologist"
achilles tendinitis,"that, the_back, sprinting, system:'you, your_heel_bone, close__close_achilles, patients, calf_muscles, achilles_tendinitis, the_achilles, tendon, mild_activity, other_sports_activity, the_pain, an_overuse_injury, episodes, the_morning, tissue, the_heel, tendinitis_achilles, the_lower_leg, which, tendinitis, stair_climbing, you, the_band, the_leg, uh-kill-eez, tenderness, prolonged_running, i, a_mild_ache, patient, more-severe_pain, achilles",Orthopedist
achilles tendon rupture,"your_heel, system:'you, an_inability, patients, a_popping_or_snapping_sound, no_signs, symptoms, an_achilles_tendon_rupture, most_people, the_toes, the_feeling, the_injury, a_pop, medical_advice, the_heel, the_foot, it, you, i, the_calf_pain, your_doctor, patient, the_injured_leg",Orthopedist
acinic cell carcinoma,"facial_changes, lump",Oncologist
acl injury,"signs, system:'you, patients, a_feeling, symptoms, motion, range, an_acl_injury, acl, the_knee_severe_pain, a_loud_pop, a_""popping""_sensation, activity_rapid_swelling_loss, way, i, weight_bearing, patient, inability, instability",Otolaryngologist
acne,"pimples, system:'you, pus, patients, hair_follicles, the_skin, cystic_acne, cystic_acne____________cystic_acne___cystic_acne_cystic_acne, boil-like_inflammation, nodules, cystic_acne_cystic_acne, small_red, painful_lumps, acne_signs, acne, their_tips, shoulders, which, skin_rash, cystic_lesions, pus_filled_pimples, your_skin, cystic_acne___cystic_acne_cystic_acne, pus-filled_lumps, pores, pustules, chest, the_most_severe_form, oil_and_dead_skin_cells, tender_bumps, the_face, whiteheads, papules, upper_back, cystic_acne________________cystic_acne_________cystic_acne___cystic_acne_cystic_acne, i, your_condition, the_resulting_rupture, the_severity, patient, forehead, close__close_cystic_acne___cystic_acne_cystic_acne",Dermatologist
acoustic neuroma,"months, the_tumor, signs, problems, weakness, system:'you, many_years, pressure, patients, vertigo)_facial_numbness, serious_consequences, the_hearing_and_balance_nerves, acoustic_neuroma, symptoms, unsteadiness, muscle_movement, more_noticeable_or_severe_signs, tinnitus, total_hearing_loss, years, rare_cases, trouble, nearby_blood_vessels, facial_and_trigeminal_nerves, the_brainstem, the_tumor's_effects, it, loss, only_one_side, you, balance_dizziness, sensation, the_affected_ear, facial_muscles, your_balance, one_ear, i, your_ear, early_diagnosis, an_acoustic_neuroma, your_doctor, brain_structures, common_signs, patient, nearby_nerves, they","Neurologist, Oncologist"
acromegaly,"facial_features, hands, dysfunction, that, system:'you, patients, people, an_enlarged_nose, symptoms, the_upper_airway_vision_problems_headaches, lips, newer_ones, old_photos, feet, limited_joint_mobility, a_common_sign, your_shoe_size, the_facial_bones, obstruction, years, persistent_or_severe_menstrual_cycle_irregularities, women, interest, your_face's_shape, which, men_loss, enlarged_vocal_cords, skin_excessive_sweating_and_body_odor_small_outgrowths, skin_tags)_fatigue, another, severe_snoring, you, gradual_changes, acromegaly_signs, joint_or_muscle_weakness_pain, skin_tissue, husky_voice, rings, a_protruding_lower_jaw_and_brow_bone, nose, any, one_person, early_signs, i, the_physical_changes, tongue_coarse, acromegaly, your_teeth, patient, thickened_lips, example, sex","Orthopedist, Otolaryngologist"
actinic keratosis,"hands, system:'you, some_cases, patients, the_top_layer, symptoms, red_or_brown_itching, the_skin, patch, the_head, dry_or_scaly_patch, actinic_keratoses, surface_color_variations, wartlike, new_patches, forearms, 2.5_centimeters, sun-exposed_areas, appearance, neck, scaly, skin, i, bumps, less_than_1_inch, patient, diameter","Dermatologist, Otolaryngologist"
acute bronchospasm,"shortness, chest_tightness, breath","Emergency Medicine Physician, Pulmonologist"
acute coronary syndrome,"acute_coronary_syndrome, signs, system:'you, pressure, patients, pain, diabetes, symptoms, the_signs, your_age, dizziness, the_shoulders, upper_abdomen, the_most_common_symptom, dyspnea, the_chest, other_medical_conditions, you, unusual_or_unexplained_fatigue, older_adult, chest_pain, diaphoresis, sex, i, discomfort, breath, arms, patient, indigestion_shortness, a_woman, they, angina","Cardiologist, Emergency Medicine Physician"
acute flaccid myelitis,"sudden_arm_or_leg_weakness, weakness_difficulty, system:'you, patients, symptoms, muscle_tone, numbness, reflexes, the_eyes, the_arms, eyelids_facial_droop, back__uncommon_symptoms, life-threatening_body_temperature_changes, legs, sudden_loss, it, neck, speech_pain, difficulty, the_muscles, the_most_common_signs, acute_flaccid_myelitis, i, urine__severe_symptoms, respiratory_failure, patient, inability, other_possible_signs, blood_pressure_instability",Emergency Medicine Physician
acute glaucoma,"severe_eye_pain, blurred_vision, lights, halos",Emergency Medicine Physician
acute kidney injury,"fluid_retention, urine_output, fatigue","Emergency Medicine Physician, Nephrologist"
acute liver failure,"ascites, your_skin, signs, system:'you, i, patients, acute_liver_failure, yellowing, disorientation_or_confusion_sleepiness_breath, symptoms, a_general_sense, patient, eyeballs, a_musty_or_sweet_odor_tremors, your_upper_right_abdomen, jaundice)_pain","Emergency Medicine Physician, Gastroenterologist"
acute lymphocytic leukemia,"abdomen, the_gums_bone_pain_fever_frequent_infections, a_general_decrease, signs, system:'you, i, energy, patients, groin_pale_skin_shortness, symptoms, swollen_lymph_nodes, breath_weakness, patient, frequent_or_severe_nosebleeds_lumps, armpits, acute_lymphocytic_leukemia, the_neck, fatigue","Emergency Medicine Physician, Oncologist"
acute myelogenous leukemia,"acute_myelogenous_leukemia, breath_pale_skin_frequent_infections, those, the_gums, signs, other_common_diseases, system:'you, i, patients, general_signs, the_flu, fatigue_shortness, bruising_unusual_bleeding, symptoms, frequent_nosebleeds, patient, fever_bone_pain_lethargy, the_early_stages","Emergency Medicine Physician, Oncologist"
acute otitis media,"fluid_drainage, muffled_hearing, the_affected_ear, loss, the_ear, ear_pain, fever",Emergency Medicine Physician
acute pancreatitis,"severe_upper_abdominal_pain, jaundice, nausea, swollen_and_tender_abdomen, rapid_pulse, fever","Emergency Medicine Physician, Gastroenterologist"
acute sinusitis,"(runny_nose, your_nose_pain, that, the_throat, the_back, system:'you, pressure, some_cases, patients, cough, the_nose, symptoms, other_signs, headache, altered_sense, pressure_headache, acute_sinusitis_signs, nasal_congestion, postnasal_drainage, cheeks, post-nasal_drip, congestion, difficulty, tenderness, nose, thick_nasal_discharge, i, yellow_or_greenish_mucus, your_eyes, forehead, your_teeth, patient, facial_pain, smell_cough_bad_breath_fatigue_fever, fever, fatigue","Emergency Medicine Physician, Otolaryngologist, Pulmonologist"
addisons disease,"then_a_stress, months, the_disease, life-threatening_shock, system:'you, patients, people, salt, symptoms, sexual_issues, diarrhea, the_symptoms, abdominal_pain_muscle, addison's_disease, vomiting, dehydration_reduced_consciousness_or_delirium_low_blood_pressure, adrenal_failure, darkened_skin_low_blood_pressure, the_lower_back, severe_weakness_confusion_pain, legs, some_people, addison's_disease_symptoms, it, loss, addisonian_crisis, appetite_areas, joint_pain_irritability_depression_body_hair_loss, hypoglycemia_nausea, who, acute_adrenal_failure, i, injury, severe_abdominal_pain, patient, low_blood_sugar, extreme_fatigue_weight_loss, emergency_treatment, illness","Emergency Medicine Physician, Orthopedist"
adenoid cystic carcinoma,"facial_numbness, lump",Oncologist
adenomyosis,"system:'you, adenomyosis, pressure, patients, no_signs, symptoms, menstruation, pelvic_pain, only_mild_discomfort, severe_cramping, you, tenderness, dyspareunia, your_uterus, i, dysmenorrhea, chronic_pelvic_pain_painful_intercourse, patient, your_lower_abdomen",Gynecologist
adhd,"some_daily_activities, older_children, school, the_seat, feet, inattentive_symptoms, typical_developmental_behavior, tasks, a_higher_activity_level, trouble, the_primary_features, impulsivity, energy, his, others'_conversations, the_level, hyperactive_and_impulsive_symptoms, one_activity, pencils, hyperactivity, close_attention, a_mix, games, i, the_majority, whose_schoolwork, age, patient, a_pattern, situations, instructions, system:'you, lose_items, one_time, patients, the_questioner, children, adhd_adhd_adhd_adhd, his_or_her_turn, adhd_children, friends, an_activity, adulthood, young_children, it, activities, adhd_symptoms, others, inattention, schoolwork, their_friends, who, toys, answers, that, some_children, the_go, something, short_attention_spans, three_subtypes, friendships, another, a_child, focused_mental_effort, the_classroom, addition, boys, adhd, careless_mistakes, preschoolers, hyperactive/impulsive_symptoms, inattention_and_hyperactive-impulsive_behavior, her_hands, siblings, most_healthy_children, homework, problems, symptoms, school_assignments, other_situations, interest, attention_span, males, teenagers, behaviors, their_parents, home, details, difficulty, girls, chores, constant_motion, chores__hyperactivity, females, this, example, they",Psychiatrist
adjustment disorders,"your_life, friend, signs, the_u.s, system:'you, overwhelmed_difficulty, patients, adjustment_disorder, a_doctor, symptoms, behavior__symptoms, some_examples, suicidal_thoughts, chat, services, more_stress, persistent_or_chronic_adjustment_disorders, the_world, behavior, them, adjustment_disorders, significant_problems, daily_activities, social_supports, your_local_emergency_number, time, thoughts, person, stressful_events, an_emergency_room, a_stressful_event, trouble, or_confide, the_lifeline, concerns, treatment, more_than_6_months, your_actions, your_child's_adjustment, a_trusted_relative, a_suicide_hotline, the_end, appetite_difficulty, important_things, unemployment, an_adjustment_disorder, you, stressors, the_stressor, a_new_stressful_situation, the_stress, the_stressful_event, life, things, the_988_suicide_&_crisis_lifeline, yourself, text, we, response, a_part, bills_suicidal_thoughts, someone, i, each_day, your_doctor, lack, your_child's_pediatrician, three_months, patient, ., the_same_emotional_struggles, seven_days, the_type","Emergency Medicine Physician, Psychiatrist"
adrenal cancer,"irregular_periods_hormone_changes, that, men, signs, causes, an_adrenal_gland_cell, system:'you, the_body, these_inherited_syndromes, patients, people, a_tumor, hair_loss, symptoms, healthy_cells, something, the_skin_hormone_changes, a_cell's_dna, a_cell, the_head, inherited_syndromes, certain_cancers, the_abnormal_cells, mutations, women, the_mutations, hormonal_imbalances, testicles_nausea, the_instructions, weight, the_cell, appetite_loss, the_risk, pink_or_purple_stretch_marks, changes, the_tumor_cells, it, mayo_clinic_staff, abdominal_or_back_pain, adrenal_cancer, risk_factors, the_dna, weight_gain_muscle_weakness, what, adrenal_cancer_forms, other_parts, mayo_clinic, beckwith-wiedemann_syndrome_carney_complex_li-fraumeni_syndrome_lynch_syndrome_multiple_endocrine_neoplasia, unexplained_weight_loss, i, pain_fever_loss, type, enlarged_breast_tissue, patient, excess_facial_hair, this, mayo_clinic_staff__adrenal_cancer_care","Nephrologist, Oncologist"
